case_id,class_id,class_name,gt_voxels,pred_voxels,tp,fp,fn,gt_min,gt_max,pred_min,pred_max,gt_centroid,pred_centroid,centroid_displacement_vox
oaizib_010,3,Tibia,1260701,3418643,914904,2503739,345797,"[np.int64(35), np.int64(96), np.int64(0)]","[np.int64(145), np.int64(257), np.int64(159)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(383), np.int64(383)]","[np.float64(91.36), np.float64(174.81), np.float64(79.16)]","[np.float64(74.97), np.float64(141.03), np.float64(186.6)]",113.81
oaizib_010,4,Medial Tibial Cartilage,22499,212713,12438,200275,10061,"[np.int64(35), np.int64(98), np.int64(121)]","[np.int64(78), np.int64(236), np.int64(158)]","[np.int64(0), np.int64(2), np.int64(0)]","[np.int64(159), np.int64(375), np.int64(381)]","[np.float64(58.15), np.float64(165.38), np.float64(134.12)]","[np.float64(82.19), np.float64(129.06), np.float64(159.73)]",50.52
oaizib_010,5,Lateral Tibial Cartilage,23612,89978,11563,78415,12049,"[np.int64(94), np.int64(99), np.int64(119)]","[np.int64(142), np.int64(221), np.int64(156)]","[np.int64(0), np.int64(4), np.int64(1)]","[np.int64(159), np.int64(375), np.int64(381)]","[np.float64(118.14), np.float64(151.01), np.float64(136.41)]","[np.float64(96.05), np.float64(137.91), np.float64(135.19)]",25.71
oaizib_016,1,Femur,2165089,10696204,2091810,8604394,73279,"[np.int64(18), np.int64(101), np.int64(145)]","[np.int64(145), np.int64(285), np.int64(383)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(383), np.int64(383)]","[np.float64(84.72), np.float64(199.9), np.float64(242.93)]","[np.float64(79.7), np.float64(234.31), np.float64(194.55)]",59.58
oaizib_016,2,Femoral Cartilage,181864,595458,167985,427473,13879,"[np.int64(25), np.int64(93), np.int64(135)]","[np.int64(141), np.int64(286), np.int64(262)]","[np.int64(0), np.int64(1), np.int64(0)]","[np.int64(159), np.int64(382), np.int64(381)]","[np.float64(85.4), np.float64(171.44), np.float64(179.05)]","[np.float64(80.53), np.float64(176.44), np.float64(180.72)]",7.18
oaizib_016,3,Tibia,1432632,3392329,1061129,2331200,371503,"[np.int64(25), np.int64(74), np.int64(0)]","[np.int64(143), np.int64(242), np.int64(159)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(383), np.int64(383)]","[np.float64(85.13), np.float64(155.02), np.float64(79.5)]","[np.float64(75.21), np.float64(148.65), np.float64(178.33)]",99.53
oaizib_016,4,Medial Tibial Cartilage,31935,258105,18888,239217,13047,"[np.int64(27), np.int64(91), np.int64(122)]","[np.int64(72), np.int64(230), np.int64(159)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(382), np.int64(381)]","[np.float64(51.74), np.float64(158.73), np.float64(136.4)]","[np.float64(78.94), np.float64(119.55), np.float64(175.16)]",61.46
oaizib_016,5,Lateral Tibial Cartilage,28478,101820,16147,85673,12331,"[np.int64(94), np.int64(80), np.int64(122)]","[np.int64(140), np.int64(195), np.int64(163)]","[np.int64(4), np.int64(2), np.int64(1)]","[np.int64(159), np.int64(382), np.int64(381)]","[np.float64(114.88), np.float64(129.83), np.float64(139.48)]","[np.float64(89.29), np.float64(125.73), np.float64(141.62)]",26.0
oaizib_023,1,Femur,1717895,11550843,1696900,9853943,20995,"[np.int64(25), np.int64(131), np.int64(153)]","[np.int64(140), np.int64(307), np.int64(383)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(383), np.int64(383)]","[np.float64(84.95), np.float64(223.59), np.float64(251.54)]","[np.float64(78.92), np.float64(211.07), np.float64(195.99)]",57.27
oaizib_023,2,Femoral Cartilage,121942,430135,113338,316797,8604,"[np.int64(29), np.int64(122), np.int64(151)]","[np.int64(134), np.int64(312), np.int64(262)]","[np.int64(0), np.int64(1), np.int64(0)]","[np.int64(159), np.int64(382), np.int64(382)]","[np.float64(84.75), np.float64(195.23), np.float64(191.47)]","[np.float64(79.2), np.float64(196.68), np.float64(183.48)]",9.83
oaizib_023,3,Tibia,1153133,3285365,768063,2517302,385070,"[np.int64(34), np.int64(123), np.int64(0)]","[np.int64(141), np.int64(270), np.int64(173)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(383), np.int64(383)]","[np.float64(88.25), np.float64(196.34), np.float64(93.96)]","[np.float64(82.2), np.float64(157.23), np.float64(165.94)]",82.13
oaizib_023,4,Medial Tibial Cartilage,18375,190474,10899,179575,7476,"[np.int64(34), np.int64(128), np.int64(142)]","[np.int64(77), np.int64(251), np.int64(175)]","[np.int64(0), np.int64(1), np.int64(0)]","[np.int64(159), np.int64(382), np.int64(381)]","[np.float64(55.97), np.float64(190.11), np.float64(150.74)]","[np.float64(79.54), np.float64(159.44), np.float64(171.88)]",44.08
oaizib_023,5,Lateral Tibial Cartilage,16860,63070,7589,55481,9271,"[np.int64(95), np.int64(130), np.int64(147)]","[np.int64(139), np.int64(240), np.int64(175)]","[np.int64(0), np.int64(2), np.int64(1)]","[np.int64(151), np.int64(356), np.int64(381)]","[np.float64(115.32), np.float64(178.48), np.float64(157.77)]","[np.float64(89.05), np.float64(145.58), np.float64(137.6)]",46.69
oaizib_026,1,Femur,1497899,9528675,1354665,8174010,143234,"[np.int64(19), np.int64(115), np.int64(175)]","[np.int64(132), np.int64(293), np.int64(383)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(383), np.int64(383)]","[np.float64(77.84), np.float64(204.36), np.float64(265.52)]","[np.float64(82.12), np.float64(216.17), np.float64(195.51)]",71.13
oaizib_026,2,Femoral Cartilage,116257,500149,107541,392608,8716,"[np.int64(28), np.int64(106), np.int64(170)]","[np.int64(128), np.int64(296), np.int64(282)]","[np.int64(0), np.int64(1), np.int64(0)]","[np.int64(159), np.int64(378), np.int64(381)]","[np.float64(78.72), np.float64(181.14), np.float64(212.65)]","[np.float64(71.57), np.float64(201.39), np.float64(189.01)]",31.94
oaizib_026,3,Tibia,1143208,4701697,814709,3886988,328499,"[np.int64(33), np.int64(110), np.int64(0)]","[np.int64(136), np.int64(250), np.int64(198)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(383), np.int64(383)]","[np.float64(85.59), np.float64(180.14), np.float64(112.47)]","[np.float64(74.81), np.float64(144.18), np.float64(205.2)]",100.04
oaizib_026,4,Medial Tibial Cartilage,16951,267650,10412,257238,6539,"[np.int64(33), np.int64(116), np.int64(157)]","[np.int64(71), np.int64(236), np.int64(195)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(379), np.int64(381)]","[np.float64(54.31), np.float64(175.43), np.float64(174.15)]","[np.float64(75.54), np.float64(158.8), np.float64(174.09)]",26.97
oaizib_026,5,Lateral Tibial Cartilage,17632,71035,7940,63095,9692,"[np.int64(89), np.int64(112), np.int64(166)]","[np.int64(135), np.int64(226), np.int64(197)]","[np.int64(0), np.int64(1), np.int64(1)]","[np.int64(155), np.int64(378), np.int64(381)]","[np.float64(111.21), np.float64(163.04), np.float64(181.29)]","[np.float64(95.6), np.float64(167.03), np.float64(134.83)]",49.17
oaizib_031,1,Femur,2294069,10086400,2262349,7824051,31720,"[np.int64(10), np.int64(95), np.int64(145)]","[np.int64(143), np.int64(289), np.int64(383)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(383), np.int64(383)]","[np.float64(79.54), np.float64(195.23), np.float64(245.76)]","[np.float64(78.84), np.float64(236.6), np.float64(193.89)]",66.35
oaizib_031,2,Femoral Cartilage,173494,582165,161615,420550,11879,"[np.int64(22), np.int64(87), np.int64(141)]","[np.int64(135), np.int64(293), np.int64(266)]","[np.int64(0), np.int64(1), np.int64(0)]","[np.int64(159), np.int64(382), np.int64(381)]","[np.float64(83.12), np.float64(171.77), np.float64(185.5)]","[np.float64(80.52), np.float64(185.8), np.float64(174.37)]",18.09
oaizib_031,3,Tibia,1574337,3406091,968302,2437789,606035,"[np.int64(20), np.int64(72), np.int64(0)]","[np.int64(143), np.int64(251), np.int64(164)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(383), np.int64(383)]","[np.float64(82.39), np.float64(159.21), np.float64(83.7)]","[np.float64(76.58), np.float64(144.5), np.float64(201.21)]",118.57
oaizib_031,4,Medial Tibial Cartilage,28198,194145,9566,184579,18632,"[np.int64(23), np.int64(82), np.int64(131)]","[np.int64(66), np.int64(222), np.int64(167)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(382), np.int64(381)]","[np.float64(46.59), np.float64(152.58), np.float64(142.64)]","[np.float64(81.03), np.float64(130.7), np.float64(127.56)]",43.5
oaizib_031,5,Lateral Tibial Cartilage,25474,106073,20400,85673,5074,"[np.int64(94), np.int64(92), np.int64(131)]","[np.int64(140), np.int64(207), np.int64(166)]","[np.int64(1), np.int64(1), np.int64(1)]","[np.int64(159), np.int64(383), np.int64(381)]","[np.float64(115.84), np.float64(143.91), np.float64(143.85)]","[np.float64(91.6), np.float64(143.89), np.float64(111.68)]",40.28
oaizib_032,1,Femur,1972030,10680750,1950707,8730043,21323,"[np.int64(14), np.int64(109), np.int64(143)]","[np.int64(138), np.int64(286), np.int64(383)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(383), np.int64(383)]","[np.float64(79.22), np.float64(204.97), np.float64(245.88)]","[np.float64(79.15), np.float64(228.04), np.float64(189.25)]",61.14
oaizib_032,2,Femoral Cartilage,175899,575249,162977,412272,12922,"[np.int64(25), np.int64(100), np.int64(134)]","[np.int64(133), np.int64(288), np.int64(264)]","[np.int64(0), np.int64(1), np.int64(0)]","[np.int64(159), np.int64(382), np.int64(382)]","[np.float64(80.82), np.float64(178.34), np.float64(182.34)]","[np.float64(77.04), np.float64(187.15), np.float64(186.44)]",10.43
oaizib_032,3,Tibia,1266530,3430927,795525,2635402,471005,"[np.int64(26), np.int64(100), np.int64(0)]","[np.int64(142), np.int64(254), np.int64(163)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(383), np.int64(383)]","[np.float64(83.06), np.float64(180.39), np.float64(83.5)]","[np.float64(81.28), np.float64(139.8), np.float64(175.68)]",100.74
oaizib_032,4,Medial Tibial Cartilage,22506,265484,9006,256478,13500,"[np.int64(29), np.int64(107), np.int64(126)]","[np.int64(69), np.int64(232), np.int64(157)]","[np.int64(3), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(383), np.int64(381)]","[np.float64(50.77), np.float64(166.71), np.float64(137.42)]","[np.float64(81.31), np.float64(126.96), np.float64(199.49)]",79.78
oaizib_032,5,Lateral Tibial Cartilage,25001,86030,14898,71132,10103,"[np.int64(91), np.int64(122), np.int64(134)]","[np.int64(136), np.int64(223), np.int64(158)]","[np.int64(3), np.int64(0), np.int64(1)]","[np.int64(159), np.int64(383), np.int64(381)]","[np.float64(113.12), np.float64(167.97), np.float64(144.33)]","[np.float64(84.96), np.float64(161.65), np.float64(171.33)]",39.53
oaizib_034,1,Femur,1902215,10758201,1849842,8908359,52373,"[np.int64(18), np.int64(94), np.int64(148)]","[np.int64(138), np.int64(270), np.int64(383)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(383), np.int64(383)]","[np.float64(79.86), np.float64(186.68), np.float64(246.39)]","[np.float64(77.62), np.float64(234.94), np.float64(187.77)]",75.97
oaizib_034,2,Femoral Cartilage,145806,450478,133161,317317,12645,"[np.int64(25), np.int64(86), np.int64(140)]","[np.int64(134), np.int64(274), np.int64(264)]","[np.int64(0), np.int64(1), np.int64(0)]","[np.int64(159), np.int64(382), np.int64(381)]","[np.float64(81.36), np.float64(162.02), np.float64(183.23)]","[np.float64(81.91), np.float64(169.82), np.float64(177.69)]",9.59
oaizib_034,3,Tibia,1295222,2908349,780990,2127359,514232,"[np.int64(31), np.int64(83), np.int64(0)]","[np.int64(142), np.int64(255), np.int64(161)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(383), np.int64(383)]","[np.float64(88.56), np.float64(168.78), np.float64(86.23)]","[np.float64(82.11), np.float64(144.34), np.float64(188.94)]",105.78
oaizib_034,4,Medial Tibial Cartilage,22491,293161,12105,281056,10386,"[np.int64(33), np.int64(90), np.int64(133)]","[np.int64(72), np.int64(219), np.int64(163)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(383), np.int64(381)]","[np.float64(54.29), np.float64(148.24), np.float64(142.45)]","[np.float64(80.5), np.float64(123.78), np.float64(201.06)]",68.71
oaizib_034,5,Lateral Tibial Cartilage,23544,97255,14222,83033,9322,"[np.int64(94), np.int64(95), np.int64(134)]","[np.int64(141), np.int64(205), np.int64(161)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(383), np.int64(381)]","[np.float64(117.27), np.float64(142.41), np.float64(146.96)]","[np.float64(93.44), np.float64(139.89), np.float64(146.9)]",23.97
oaizib_040,1,Femur,1604189,12075009,1401703,10673306,202486,"[np.int64(26), np.int64(107), np.int64(132)]","[np.int64(137), np.int64(276), np.int64(383)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(383), np.int64(383)]","[np.float64(85.48), np.float64(197.95), np.float64(233.9)]","[np.float64(79.36), np.float64(214.24), np.float64(199.26)]",38.77
oaizib_040,2,Femoral Cartilage,115460,435257,102621,332636,12839,"[np.int64(33), np.int64(99), np.int64(125)]","[np.int64(135), np.int64(280), np.int64(236)]","[np.int64(0), np.int64(1), np.int64(0)]","[np.int64(159), np.int64(382), np.int64(382)]","[np.float64(85.39), np.float64(176.53), np.float64(167.41)]","[np.float64(81.84), np.float64(182.67), np.float64(175.15)]",10.49
oaizib_040,3,Tibia,958157,2773413,761143,2012270,197014,"[np.int64(40), np.int64(101), np.int64(0)]","[np.int64(141), np.int64(243), np.int64(151)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(383), np.int64(383)]","[np.float64(92.45), np.float64(169.69), np.float64(77.43)]","[np.float64(81.04), np.float64(168.12), np.float64(163.04)]",86.39
oaizib_040,4,Medial Tibial Cartilage,16187,238435,10526,227909,5661,"[np.int64(40), np.int64(103), np.int64(114)]","[np.int64(78), np.int64(226), np.int64(150)]","[np.int64(0), np.int64(2), np.int64(0)]","[np.int64(159), np.int64(382), np.int64(381)]","[np.float64(61.78), np.float64(165.0), np.float64(126.59)]","[np.float64(81.41), np.float64(151.09), np.float64(190.45)]",68.23
oaizib_040,5,Lateral Tibial Cartilage,16413,77119,6190,70929,10223,"[np.int64(95), np.int64(103), np.int64(117)]","[np.int64(139), np.int64(215), np.int64(147)]","[np.int64(0), np.int64(4), np.int64(0)]","[np.int64(159), np.int64(381), np.int64(381)]","[np.float64(116.28), np.float64(154.36), np.float64(133.82)]","[np.float64(96.75), np.float64(126.97), np.float64(109.03)]",41.79
